Alter Mutter	Anzahl Kinder
17	1
18	9
19	12
20	27
21	35
22	33
23	95
24	97
25	144
26	167
27	203
28	208
29	291
30	278
31	364
32	368
33	386
34	380
35	354
36	265
37	231
38	192
39	154
40	119
41	75
42	51
43	33
44	21
45	8
46	7
47	8
49	2
