	Theater- und Ballettgruppen	Orchester, Chöre, Musiker	Erbringung von Dienstleistungen für die darstellende Kunst	Selbstständige bildende Künstler	Sonstige künstlerische und schriftstellerische Tätigkeiten und Darbietungen	Selbstständige Journalisten	Betrieb von Kultur- und Unterhaltungseinrichtungen	Bibliotheken und Archive	Museen	Betrieb von historischen Stätten und Gebäuden und ähnlichen Attraktionen	Botanische und zoologische Gärten sowie Naturparks
2011	683	823	37	163	83	54	128	214	613	4	171
2012	712	902	49	167	69	53	137	189	609	5	163
2013	785	943	53	177	74	66	138	197	574	4	144
2014	784	1036	58	219	81	70	144	221	616	5	145
2015	727	1134	73	235	76	76	191	249	610	5	148
2016	774	1078	89	222	74	63	138	235	646	5	233
2017	754	1105	74	210	69	66	142	228	700	6	248
2018	750	1123	79	193	71	70	125	232	712	7	233
