Jahr	 Schweiz	 Ausland	 Total
2006	7.443825619	11.89372876	8.819736682
2007	7.711248852	11.36421633	8.851390098
2008	7.699919599	11.70305384	8.964459488
2009	8.095098054	11.8598295	9.3
2010	8.616269132	12.66683535	9.950715305
2011	8.302310005	12.57526342	9.720357593
2012	8.7	12.6	10
2013	8.499136806	13.1148525	10.0793712
2014	8.733590311	12.30403731	9.975214957
2015	9.331195697	11.73075401	10.2
