"jahr"	"Abfall"	"Erdgas"	"Heizöl"	"Holz"	"Umweltwärme"	"Elektrizität"	"Import"	"Anteil am Bruttoergieverbrauch (rechte Skala)"
2010	655.80707	585.5576216	46.34213402	116.2389	7.7284	0	0	21.795550128
2012	677.38657765	461.9922698	35.70322345	120.1248	12.8	0	0	22.541868843
2014	676.04037765	335.95787634	41.27947025	142.5041271	13.789218	4.82794233	0	21.466274247
2016	703.316412	417.47090613	44.565298	170.645088	19.591119	5.89472617	5.373957	24.34060824
2018	697.12229144	569.25715478	57.322184	158.79761322	23.721093	4.209148	4.345729	26.743069296
2020	669.79731189	503.42668568	56.08344672	248.083201	17.811805	3.655	5.043015	28.842941138
