	Strassenverkehrsgesetz (SGV)	Umweltschutzgesetz (USG)	Übertretungsstrafgesetz (ÜStG)	Nationalstrassenabgabegesetz (NSAG)	Übrige Gesetze/Verordnungen
2017	220109	1341	853	478	288
2018	208662	988	758	418	108
2019	231205	1375	554	404	60
