Jahr	Gundeldingen	Gundeldingen 95% Konfidenzintervall Untergrenze	Gundeldingen 95% Konfidenzintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Konfidenzintervall Untergrenze	Basel-Stadt 95% Konfidenzintervall Obergrenze
2011	7.69101	7.4371	7.94492	7.74884	7.67372	7.82396
2015	8.00777	7.7682	8.24735	7.84102	7.76882	7.91323
2019	7.98298	7.79355	8.17241	8.01379	7.94745	8.08013
2023	7.88844	7.6563	8.12059	7.84951	7.77549	7.92352
