Branche	Schweiz	Basel-Stadt	Genf	Zürich	Rank
Life Sciences	2.74804062233415	3.31522127780296	2.4187832959548	3.10111741512357	1
Herst. von chem. Erzeugn.	-0.323918153685522	12.7607005703623	-2.5987723650145	-0.406171151181267	2
Baugewerbe	0.600709567161643	-0.169666883337779	2.6188234906361	2.57620980581417	3
Handel und Garagengewerbe	-1.61370284442059	-2.70382153820644	-0.887022937782806	-1.56406384882847	4
Verkehr und Lagerei	0.188479651528407	0.491807855237642	0.331790934226434	-1.49342486180136E-02	5
Gastgewerbe	-1.11502790075103	0.447398776132501	-0.588438669562643	0.625527714360651	6
Finanz- & Versicherungsdl.	0.260636543770597	1.23870381988171	-1.07786782289552	0.134869098829383	7
Freiberufl. & wiss. Dienstl.	1.63275080779176	2.86997606355376	2.25682633340929	1.30294270978241	8
Sonstige wirtschaftl. Dienstl.	3.31844099099296	4.25468110714153	4.20625126386089	3.07328007331705	9
Verwaltung	1.73534373714699	4.22433115840454	3.63698995506745	1.94278284960264	10
Gesundh.- & Sozialwesen	5.00659769873504	4.42130446611908	5.19102593112183	5.05026402788294	11
