Handlungsbedarf,Anzahl Einwohner,Anzahl Beschäftigte,Betroffene Personen,Anzahl Beschäftigte VZÄ
Hoher Handlungsbedarf - Fokusgebiet,109916,121643,231559,96685.6
Situation Verbessern,60222,40926,101148,32422.6
Situation Erhalten,35922,14786,50708,10598.9
übriges Gebiet,1455,12210,13665,8681.5
