"Jahr"	"Heizöl"	"Erdgas"	"Abfall"	"Treibstoffe"	"Tonnen CO<sub>2 </sub> pro Einwohner (rechte Skala)"
2010	145782.38972	388352.76307	160521.32448	216083.58062	4.7447722687
2012	127042.34772	340072.53118	165219.73314	200798.35374	4.3189889362
2014	104663.35267	281183.30751	179353.03781	203891.3909	3.9222131559
2016	80358.645712	292211.83968	165179.37024	203864.58016	3.7469230877
2018	72455.066764	264695.34681	162958.05316	201178.9528	3.5087160087
2020	67519.360118	250860.43249	152036.13722	150967.40136	3.0833801867
2022	61528.465754	222140.23785	161679.20326	148042.28554	2.914082822
2024	45597.449728	188662.01191	165385.85814	144465.36088	2.6285630071
