"Kanton"	"2022"	"2023"	"2024"	"2025"	"2026"
"CH"	1.31	1.15	""	""	""
"."	""	""	""	""	""
"BS"	1.17	1.06	0.77	""	""
"BL"	0.93	0.92	0.73	""	""
".."	""	""	""	""	""
"ZH"	0.60	0.53	""	""	""
"BE"	1.48	1.38	""	""	""
"LU"	0.91	0.96	""	""	""
"UR"	0.85	0.64	""	""	""
"SZ"	0.72	0.50	""	""	""
"OW"	0.48	0.43	""	""	""
"NW"	0.76	0.82	""	""	""
"GL"	1.73	1.25	""	""	""
"ZG"	0.33	0.42	""	""	""
"FR"	1.77	1.38	""	""	""
"SO"	2.66	2.39	""	""	""
"SH"	1.65	1.07	""	""	""
"AR"	1.84	1.20	""	""	""
"AI"	1.67	1.59	""	""	""
"SG"	1.69	1.42	""	""	""
"GR"	0.61	0.58	""	""	""
"AG"	1.69	1.40	""	""	""
"TG"	1.70	1.45	""	""	""
"TI"	2.49	2.17	""	""	""
"VD"	1.10	0.98	""	""	""
"VS"	1.87	1.69	""	""	""
"NE"	2.20	1.85	""	""	""
"GE"	0.38	0.42	""	""	""
"JU"	2.96	3.17	""	""	""

