Publikationsjahr	Anteil Genossenschaftswohnungen in %
2013: an allen neuerstellten Wohnungen	7.9	
2013: an allen bewohnten Wohnungen	10.5	
.			
2014: an allen neuerstellten Wohnungen	0
2014: an allen bewohnten Wohnungen	10.6	
..			
2015: an allen neuerstellten Wohnungen	0	
2015: an allen bewohnten Wohnungen	10.5	
...			
2016: an allen neuerstellten Wohnungen	2.2	
2016: an allen bewohnten Wohnungen	10.7
....			
2017: an allen neuerstellten Wohnungen	32.5	
2017: an allen bewohnten Wohnungen	10.8	
.....			
2018: an allen neuerstellten Wohnungen	21.4	
2018: an allen bewohnten Wohnungen	10.8	
......			
2019: an allen neuerstellten Wohnungen	6.4	
2019: an allen bewohnten Wohnungen	10.8
.......			
2020: an allen neuerstellten Wohnungen	7.1	
2020: an allen bewohnten Wohnungen	10.9	
........		
2021: an allen neuerstellten Wohnungen	31.8	
2021: an allen bewohnten Wohnungen

