"Kanton"	"Jahr"	"1 Zi"	"2 Zi"	"3 Zi"	"4 Zi"	"5 Zi"	"6 u.m. Zi"	"Leerstandsquote (rechte Skala)"
"Basel-Landschaft"	2010	9	48	198	224	71	45	0.005
"Basel-Landschaft"	2011	15	47	196	241	57	16	0.004
"Basel-Landschaft"	2012	16	67	234	189	64	19	0.004
"Basel-Landschaft"	2013	12	44	189	193	40	14	0.004
"Basel-Landschaft"	2014	7	30	166	163	44	17	0.003
"Basel-Landschaft"	2015	7	59	194	215	39	14	0.004
"Basel-Landschaft"	2016	5	66	306	205	53	10	0.005
"Basel-Landschaft"	2017	23	81	394	254	44	13	0.006
"Basel-Landschaft"	2018	18	84	485	385	71	17	0.008
"Basel-Landschaft"	2019	36	154	632	529	87	54	0.011

