Staatsangehörigkeit	 Deutsch oder Schweizerdeutsch	 Kein Deutsch
Schweiz	93.5	6.5
Deutschland	99.05	0.95
Italien	40.7	59.3
Türkei	40.31	59.69
EU-17 + EFTA	31.81	68.19
EU-Ost	34.9	65.1
Balkan	46.49	53.51
Mittel- und Südamerika	29.18	70.82
Arabische Länder	35.58	64.42
Afrikanische Länder	33.84	66.16
Übrige Länder	21.81	78.19
