"Jahr"	"Klybeck"	"Klybeck 95% Konfidenzintervall Untergrenze"	"Klybeck 95% Konfidenzintervall Obergrenze"	"Kleinhüningen"	"Kleinhüningen 95% Konfidenzintervall Untergrenze"	"Kleinhüningen 95% Konfidenzintervall Obergrenze"
1990	0.73205	"."	"."	0.71622	"."	"."
2000	0.69492	"."	"."	0.70078	"."	"."
"2013-2017"	0.61702	0.58075	0.65329	0.65277	0.59583	0.70972

