Jahr	Umbau- und Unterhaltsarbeiten	Ges. Bauausgaben	Anteil (rechte Skala)
2005	594996	1247400	47.7
2006	533013	1276800	41.7
2007	671982	1416000	47.5
2008	562603	1439900	39.1
2009	492470	1357300	36.3
2010	403304	1163500	34.7
2011	577475	1121800	51.5
2012	699423	1458600	48.0
2013	690304	1527800	45.2
