"Monat"	"meldepflichtig 2018"	"nicht-meldepflichtig 2018"	"meldepflichtig 2019"	"nicht-meldepflichtig 2019"
"Jan"	0	214	1115	329
"Feb"	0	203	774	354
"Mrz"	0	210	767	387
"Apr"	0	201		
"Mai"	0	224		
"Jun"	0	329		
"Jul"	343	370		
"Aug"	652	346		
"Sep"	708	358		
"Okt"	672	358		
"Nov"	659	370		
"Dez"	810	308		

