Jahr	Weiss nicht/Keine Angabe	Sehr unzufrieden	Eher unzufrieden	Eher zufrieden	Sehr zufrieden	Total
2003	15	0	0	544	296	855
2005	5	0	0	578	299	882
2007	2	0	0	506	361	869
2011	3	0	0	505	283	791
2015	4	0	0	468	218	690
