 Wohnsitz der Gäste	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert
 VR China	214	679	1 122	223
 Indien	226	2 192	1 653	146
 Niederlande	1 468	5 837	6 206	959
 Spanien	1 218	2 402	2 671	501
 Italien	1 602	4 297	4 511	1 076
 Frankreich	3 407	8 623	1 1976	1 666
 UK	1920	6 374	10 561	1 006
 USA	2018	3 068	14 030	585
 Deutschland	11 776	30 672	33 165	12 137
 Schweiz	30 267	111 164	89 967	33 812

