	Sehr gut	Eher gut	Eher nicht gut	Überhaupt nicht gut	Weiss nicht	Keine Angabe
Basel	2.7	48.5	19.2	6.0	21.4	2.4
Bern						
Luzern						
Zürich	4.958	49.754	13.824	3.652	27.191	0.621

