	 1. Quintil	 2. Quintil	 3. Quintil	 4. Quintil	 5. Quintil
Ausland: 2002-2004	28.73	23.33	19.43	13.45	15.05
Ausland: 2005-2007	29.07	22.91	16.42	14.54	17.06
Ausland: 2009-2011	27.54	19.22	17.11	16.02	20.11
Ausland: 2012-2014	28.36	17.22	15.54	15.1	23.78
.					
Schweiz: 2002-2004	14.24	23.38	19.54	19.95	22.89
Schweiz: 2005-2007	19.6	23.56	19.23	18.45	19.16
Schweiz: 2009-2011	21.04	20.84	21.15	18.06	18.9
Schweiz: 2012-2014	22.74	20.03	20.2	18.66	18.37
