Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	1	0.2557544757
02	Vorstädte	3	0.6535947712
03	Am Ring	8	0.7060900265
04	Breite	14	2.1671826625
05	St. Alban	36	3.1886625332
06	Gundeldingen	12	0.8565310493
07	Bruderholz	221	10.574162679
08	Bachletten	83	3.3386967015
09	Gotthelf	1	0.1028806584
10	Iselin	5	0.346981263
11	St. Johann	7	0.466045273
12	Altstadt Kleinbasel	3	1.1904761905
13	Clara	1	0.4385964912
14	Wettstein	11	1.6105417277
15	Hirzbrunnen	36	2.2741629817
16	Rosental	10	3.2786885246
17	Matthäus	6	0.5291005291
18	Klybeck	3	0.7025761124
19	Kleinhüningen	6	3.7735849057
20	Riehen	228	5.4285714286
30	Bettingen	27	8.5443037975
