Jahr	Stadt Basel	Riehen und Bettingen
2013	120.3	6.2
2014	123.7	5.9
2015	129.0	5.3
2016	135.0	7.4
2017	138.8	6.3
2018	137.4	6.0
2019	130.4	6.0
2020	132.0	5.8
2021	124.1	5.1
2022	104.1	4.5
