Jahr	Neuerstellt	Umgebaut	Baubegonnen	Total
2006	353	331	0	684
2007	120	383	0	503
2008	201	143	0	344
2009	468	139	0	607
2010	372	119	0	491
2011	351	100	0	451
2012	268	154	0	422
2013	177	135	0	312
2014	369	319	0	688
2015	788	131	0	919
