Neugründungsrate	2014	2015	2016	2017
BS	0,090175415	0,075813707	0,068734058	0,07153452
BL	0,084540166	0,065180208	0,061273161	0,060158567
JU	0,056410256	0,057429353	0,059284116	0,061744672
BS/BL/JU	0,083370749	0,068712717	0,064135942	0,065058765
CH	0,078634422	0,072476497	0,071060781	0,070736431
