Jahr	Tagesbetreuung	Tagesstrukturen in den Quartieren	Tagesstrukturen in den Schulen	Tagesferien
2005	1912.56044	467	392	
2006	1997.721612	571	394	
2007	2101.095238	752	488	
2008	2239	799	620	
2009	2315.666667	819	814	152.7272727
2010	2928	910	1173	178.1818182
2011	3212	802	1510	176.3636364
2012	3457	743	2209	181.8181818
2013	3560	851	2966	192.7272727
2014	3859	918.6	3706	198.1818182
2015	3987	782	4096	198
