Wohnviertel	2010	2015	WohnviertelId
Altstadt Grossbasel	0.482376636455	0.429547395388	1
Vorstädte	0.447578947368	0.424231464737	2
Am Ring	0.472461981093	0.431914501566	3
Breite	0.488648886929	0.49317617866	4
St. Alban	0.618788819875	0.583408152271	5
Gundeldingen	0.410461673429	0.373477132015	6
Bruderholz	0.741716671014	0.745117676514	7
Bachletten	0.58193874329	0.551899491474	8
Gotthelf	0.426134721017	0.409791723018	9
Iselin	0.433027079303	0.411931818181	10
St. Johann	0.439746046957	0.41393758959	11
Altstadt Kleinbasel	0.364035087719	0.298363095238	12
Clara	0.589869281045	0.479378942261	13
Wettstein	0.504232609495	0.487170830519	14
Hirzbrunnen	0.61681547619	0.613840340103	15
Rosental	0.436100131752	0.42765164351	16
Matthäus	0.373685706166	0.34602294214	17
Klybeck	0.519987604586	0.475461893764	18
Kleinhüningen	0.596774193548	0.589465530596	19
Riehen	0.827125013816	0.808407266582	20
Bettingen	1.087962962962	1.087606837606	30
