"Jahr"	"Effektiv BS"	"Hohes Szenario BS"	"Mittleres Szenario BS"	"Tiefes Szenario BS"	"Effektiv KB"	"Hohes Szenario KB"	"Mittleres Szenario KB"	"Tiefes Szenario KB"
"1985"	0.1982	""	""	""	0.2669	""	""	""
"1986"	0.1979	""	""	""	0.2649	""	""	""
"1987"	0.2037	""	""	""	0.2775	""	""	""
"1988"	0.2083	""	""	""	0.2859	""	""	""
"1989"	0.2148	""	""	""	0.2959	""	""	""
"1990"	0.2248	""	""	""	0.3093	""	""	""
"1991"	0.2348	""	""	""	0.3231	""	""	""
"1992"	0.2431	""	""	""	0.3345	""	""	""
"1993"	0.2504	""	""	""	0.3431	""	""	""
"1994"	0.2560	""	""	""	0.3540	""	""	""
"1995"	0.2616	""	""	""	0.3638	""	""	""
"1996"	0.2650	""	""	""	0.3704	""	""	""
"1997"	0.2671	""	""	""	0.3729	""	""	""
"1998"	0.2694	""	""	""	0.3737	""	""	""
"1999"	0.2748	""	""	""	0.3807	""	""	""
"2000"	0.2756	""	""	""	0.3794	""	""	""
"2001"	0.2802	""	""	""	0.3802	""	""	""
"2002"	0.2886	""	""	""	0.3910	""	""	""
"2003"	0.2943	""	""	""	0.3935	""	""	""
"2004"	0.2993	""	""	""	0.3947	""	""	""
"2005"	0.3043	""	""	""	0.3985	""	""	""
"2006"	0.3114	""	""	""	0.4053	""	""	""
"2007"	0.3126	""	""	""	0.4005	""	""	""
"2008"	0.3172	""	""	""	0.4051	""	""	""
"2009"	0.3245	""	""	""	0.4107	""	""	""
"2010"	0.3264	""	""	""	0.4092	""	""	""
"2011"	0.3337	""	""	""	0.4168	""	""	""
"2012"	0.3387	""	""	""	0.4222	""	""	""
"2013"	0.3456	""	""	""	0.4262	""	""	""
"2014"	0.3501	""	""	""	0.4315	""	""	""
"2015"	0.3529	""	""	""	0.4335	""	""	""
"2016"	0.3572	""	""	""	0.4374	""	""	""
"2017"	0.3599	""	""	""	0.4397	""	""	""
"2018"	0.3642	""	""	""	0.4416	""	""	""
"2019"	0.3667	""	""	""	0.4426	""	""	""
"2020"	0.3698	""	""	""	0.4459	""	""	""
"2021"	0.3688	""	""	""	0.4449	""	""	""
"2022"	0.3795	""	""	""	0.4529	""	""	""
"2023"	0.3839	""	""	""	0.4572	""	""	""
"2024"	0.3872	""	""	""	0.4608	""	""	""
"2025"	0.3919	""	""	""	0.4670	""	""	""
"2026"	""	0.3952	0.3941	0.3918	""	0.4706	0.4694	0.4669
"2027"	""	0.3983	0.3959	0.3914	""	0.4740	0.4717	0.4667
"2028"	""	0.4013	0.3978	0.3911	""	0.4773	0.4739	0.4666
"2029"	""	0.4041	0.3996	0.3909	""	0.4805	0.4760	0.4665
"2030"	""	0.4069	0.4013	0.3907	""	0.4835	0.4779	0.4666
"2031"	""	0.4095	0.4029	0.3905	""	0.4864	0.4798	0.4667
"2032"	""	0.4120	0.4043	0.3903	""	0.4893	0.4816	0.4668
"2033"	""	0.4143	0.4056	0.3900	""	0.4922	0.4834	0.4670
"2034"	""	0.4166	0.4067	0.3898	""	0.4952	0.4852	0.4672
"2035"	""	0.4188	0.4078	0.3895	""	0.4983	0.4871	0.4674
"2036"	""	0.4209	0.4087	0.3891	""	0.5016	0.4890	0.4676
"2037"	""	0.4229	0.4096	0.3887	""	0.5050	0.4909	0.4679
"2038"	""	0.4249	0.4103	0.3882	""	0.5085	0.4929	0.4681
"2039"	""	0.4269	0.4110	0.3877	""	0.5121	0.4948	0.4683
"2040"	""	0.4289	0.4116	0.3872	""	0.5156	0.4966	0.4685
"2041"	""	0.4309	0.4122	0.3867	""	0.5192	0.4983	0.4688
"2042"	""	0.4330	0.4127	0.3862	""	0.5226	0.4998	0.4690
"2043"	""	0.4351	0.4132	0.3858	""	0.5261	0.5013	0.4693
"2044"	""	0.4372	0.4136	0.3853	""	0.5294	0.5026	0.4696
"2045"	""	0.4394	0.4140	0.3848	""	0.5327	0.5039	0.4700
"2046"	""	0.4416	0.4144	0.3844	""	0.5359	0.5051	0.4703
"2047"	""	0.4439	0.4148	0.3840	""	0.5390	0.5063	0.4707
"2048"	""	0.4462	0.4151	0.3836	""	0.5421	0.5074	0.4712
"2049"	""	0.4486	0.4155	0.3833	""	0.5451	0.5086	0.4716
"2050"	""	0.4510	0.4158	0.3829	""	0.5481	0.5097	0.4721

