""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.014967	69
"2014-02"	0.014967	61
"2014-03"	0.014967	63
"2014-04"	0.014967	59
"2014-05"	0.014967	52
"2014-06"	0.014967	53
"2014-07"	0.014967	54
"2014-08"	0.014967	45
"2014-09"	0.014967	40
"2014-10"	0.014967	48
"2014-11"	0.014967	46
"2014-12"	0.014967	46
"2015-01"	0.016002	54
"2015-02"	0.016002	54
"2015-03"	0.016002	52
"2015-04"	0.016002	52
"2015-05"	0.016002	52
"2015-06"	0.016002	59
"2015-07"	0.016002	63
"2015-08"	0.016002	61
"2015-09"	0.016002	59
"2015-10"	0.016002	56
"2015-11"	0.016002	56
"2015-12"	0.016002	62
"2016-01"	0.020497	64
"2016-02"	0.020497	62
"2016-03"	0.020497	61
"2016-04"	0.020497	68
"2016-05"	0.020497	71
"2016-06"	0.020497	74
"2016-07"	0.020497	76
"2016-08"	0.020497	76
"2016-09"	0.020497	81
"2016-10"	0.020497	80
"2016-11"	0.020497	82
"2016-12"	0.020497	76
"2017-01"	0.019626	80
"2017-02"	0.019626	70
"2017-03"	0.019626	72
"2017-04"	0.019626	81
"2017-05"	0.019626	73
"2017-06"	0.019626	74
"2017-07"	0.019626	72
"2017-08"	0.019626	65
"2017-09"	0.019626	60
"2017-10"	0.019626	64
"2017-11"	0.019626	62
"2017-12"	0.019626	61
"2018-01"	0.017202	66
"2018-02"	0.017202	62
"2018-03"	0.017202	64
"2018-04"	0.017202	65
"2018-05"	0.017202	61
"2018-06"	0.017202	60
"2018-07"	0.017202	67
"2018-08"	0.017202	67
"2018-09"	0.017202	61
"2018-10"	0.017202	55
"2018-11"	0.017202	49
"2018-12"	0.017202	54
"2019-01"	0.019085	57
"2019-02"	0.019085	59
"2019-03"	0.019085	67
"2019-04"	0.019085	68
"2019-05"	0.019085	68
"2019-06"	0.019085	78
"2019-07"	0.019085	77
"2019-08"	0.019085	74
"2019-09"	0.019085	63
"2019-10"	0.019085	65
"2019-11"	0.019085	66
"2019-12"	0.019085	69
"2020-01"	0.025980	63
"2020-02"	0.025980	66
"2020-03"	0.025980	79
"2020-04"	0.025980	91
"2020-05"	0.025980	94
"2020-06"	0.025980	96
"2020-07"	0.025980	101
"2020-08"	0.025980	84
"2020-09"	0.025980	91
"2020-10"	0.025980	104
"2020-11"	0.025980	102
"2020-12"	0.025980	133
"2021-01"	0.027816	138
"2021-02"	0.027816	130
"2021-03"	0.027816	122
"2021-04"	0.027816	117
"2021-05"	0.027816	108
"2021-06"	0.027816	96
"2021-07"	0.027816	84
"2021-08"	0.027816	88
"2021-09"	0.027816	79
"2021-10"	0.027816	77
"2021-11"	0.027816	72
"2021-12"	0.027816	71
"2022-01"	0.020473	79
"2022-02"	0.020473	71
"2022-03"	0.020473	68
"2022-04"	0.020473	68
"2022-05"	0.020473	60
"2022-06"	0.020473	61
"2022-07"	0.020473	72
"2022-08"	0.020473	79
"2022-09"	0.020473	76
"2022-10"	0.020473	75
"2022-11"	0.020473	79
"2022-12"	0.020473	82
"2023-01"	0.023391	90
"2023-02"	0.023391	76
"2023-03"	0.023391	77
"2023-04"	0.023391	80
"2023-05"	0.023391	76
"2023-06"	0.023391	76
"2023-07"	0.023391	79
"2023-08"	0.023391	85
"2023-09"	0.023391	78
"2023-10"	0.023391	86
"2023-11"	0.023391	92
"2023-12"	0.023391	99

