	Werktage	Wochenende
670-673 Zoll CH-D (Durchschnitt)	85.4	94.3
659 Schlachthofstrasse	78.5	86.4
656 Elsässerstrasse 146	70.3	83.5
409 Grenzacherstrasse 511	60.2	78.6
235 A3-A35, Grenze CH-F	55.4	87.7
413 Gundelingerstrasse 107	52.2	60.1
653 Flughafenstrasse 30	50.5	67.3
