	Anzahl Nennungen
Wohnung/Haus zu klein	377
Erwerb von Wohneigentum	136
Miete zu hoch	128
Lärmbelastung Strassenverkehr	125
Nicht kindgerechtes Wohnumfeld	101
Andere private/familiäre Gründe	93
Ausstattung ungenügend	82
Laute Nachbarn	73
Schlechter Ruf der Gegend	39
Weg zur Arbeit zu weit	33
Lärmbelastung öffentlicher Raum	33
Lärmbelastung Bahnverkehr	29
Wohnung/Haus zu gross	17
Lärmbelastung Flugverkehr	10
Weg zum Einkaufen zu weit	8
Kündigung durch Vermieter	6
Andere Gründe	188
