""	"Bâle-Ville"	"Bâle-Campagne"	"Jura"	"BS/BL/JU"	"Suisse"
"Agriculture"	3.5	3.2	2.8	3.0	3.1
"Industrie"	22.7	12.8	13.5	15.5	11.3
"Services"	10.0	7.2	6.0	8.3	7.5
"Total"	11.0	7.9	6.9	9.0	7.7

