Jahr	Sehr stark	Eher stark	Eher nicht	Gar nicht	keine Angaben
2003 (N=1497)	21.91048764195	39.144956579826	24.716098864395	14.228456913827	0
2005 (N=1510)	26.092715231788	42.05298013245	21.523178807947	10.331125827814	0
2007 (N=1509)	23.65805168986	39.960238568588	23.525513585155	12.856196156394	0
2011 (N=1516)	28.232189973614	40.765171503957	22.955145118733	7.783641160949	0.263852242744
2015 (N=1506)	29.614873837981	42.961487383798	20.78353253652	6.17529880478	0.464807436918
