Jahr	Gundeldingen	Gundeldingen 95% Konfidenzintervall Untergrenze	Gundeldingen 95% Konfidenzintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Konfidenzintervall Untergrenze	Basel-Stadt 95% Konfidenzintervall Obergrenze
2011	0.838274	0.770854	0.905695	0.842615	0.823894	0.861337
2015	0.839298	0.769276	0.909319	0.852471	0.831686	0.873257
2019	0.751863	0.680854	0.822872	0.764865	0.744413	0.785316
2023	0.728977	0.649555	0.8084	0.742928	0.721192	0.764664
