""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.026332	24
"2014-02"	0.026332	26
"2014-03"	0.026332	26
"2014-04"	0.026332	23
"2014-05"	0.026332	23
"2014-06"	0.026332	21
"2014-07"	0.026332	21
"2014-08"	0.026332	24
"2014-09"	0.026332	20
"2014-10"	0.026332	20
"2014-11"	0.026332	21
"2014-12"	0.026332	23
"2015-01"	0.035915	25
"2015-02"	0.035915	23
"2015-03"	0.035915	25
"2015-04"	0.035915	29
"2015-05"	0.035915	30
"2015-06"	0.035915	28
"2015-07"	0.035915	32
"2015-08"	0.035915	33
"2015-09"	0.035915	35
"2015-10"	0.035915	38
"2015-11"	0.035915	41
"2015-12"	0.035915	32
"2016-01"	0.033592	28
"2016-02"	0.033592	25
"2016-03"	0.033592	25
"2016-04"	0.033592	27
"2016-05"	0.033592	29
"2016-06"	0.033592	27
"2016-07"	0.033592	26
"2016-08"	0.033592	32
"2016-09"	0.033592	34
"2016-10"	0.033592	33
"2016-11"	0.033592	30
"2016-12"	0.033592	31
"2017-01"	0.035915	28
"2017-02"	0.035915	28
"2017-03"	0.035915	34
"2017-04"	0.035915	36
"2017-05"	0.035915	32
"2017-06"	0.035915	33
"2017-07"	0.035915	31
"2017-08"	0.035915	31
"2017-09"	0.035915	31
"2017-10"	0.035915	29
"2017-11"	0.035915	29
"2017-12"	0.035915	29
"2018-01"	0.028752	25
"2018-02"	0.028752	30
"2018-03"	0.028752	29
"2018-04"	0.028752	29
"2018-05"	0.028752	29
"2018-06"	0.028752	26
"2018-07"	0.028752	27
"2018-08"	0.028752	23
"2018-09"	0.028752	20
"2018-10"	0.028752	18
"2018-11"	0.028752	18
"2018-12"	0.028752	23
"2019-01"	0.018490	18
"2019-02"	0.018490	14
"2019-03"	0.018490	15
"2019-04"	0.018490	13
"2019-05"	0.018490	12
"2019-06"	0.018490	15
"2019-07"	0.018490	14
"2019-08"	0.018490	17
"2019-09"	0.018490	18
"2019-10"	0.018490	15
"2019-11"	0.018490	21
"2019-12"	0.018490	19
"2020-01"	0.035625	24
"2020-02"	0.035625	24
"2020-03"	0.035625	26
"2020-04"	0.035625	32
"2020-05"	0.035625	30
"2020-06"	0.035625	33
"2020-07"	0.035625	37
"2020-08"	0.035625	36
"2020-09"	0.035625	33
"2020-10"	0.035625	31
"2020-11"	0.035625	29
"2020-12"	0.035625	33
"2021-01"	0.035335	33
"2021-02"	0.035335	34
"2021-03"	0.035335	35
"2021-04"	0.035335	32
"2021-05"	0.035335	33
"2021-06"	0.035335	29
"2021-07"	0.035335	29
"2021-08"	0.035335	33
"2021-09"	0.035335	33
"2021-10"	0.035335	26
"2021-11"	0.035335	24
"2021-12"	0.035335	24
"2022-01"	0.025170	26
"2022-02"	0.025170	21
"2022-03"	0.025170	24
"2022-04"	0.025170	19
"2022-05"	0.025170	18
"2022-06"	0.025170	18
"2022-07"	0.025170	25
"2022-08"	0.025170	22
"2022-09"	0.025170	21
"2022-10"	0.025170	22
"2022-11"	0.025170	22
"2022-12"	0.025170	22
"2023-01"	0.017038	21
"2023-02"	0.017038	14
"2023-03"	0.017038	16
"2023-04"	0.017038	14
"2023-05"	0.017038	12
"2023-06"	0.017038	13
"2023-07"	0.017038	11
"2023-08"	0.017038	12
"2023-09"	0.017038	13
"2023-10"	0.017038	16
"2023-11"	0.017038	15
"2023-12"	0.017038	19

