Jahr	Landwirtschaftliche Nutzfläche in ha
2008	440.5331175
2009	440.5331175
2010	439.241852
2011	438.761816
2012	438.881447
2013	438.881447
2014	410.355883
2015	410.355883
2016	410.665186
