Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	65.562913907284	75.373134328358	74.814814814814	56.962025316455	67.613636363636	62.566844919786	67.74193548387	71.717171717171	73.752711496746	61.312607944732	66.826923076923
2005	60.710194730813	67.647058823529	62.31884057971	59.712230215827	48.484848484848	53.714285714285	71.978021978021	74.57627118644	66.386554621848	57.410881801125	61.645193260654
2007	63.83495145631	70.103092783505	63.636363636363	67.34693877551	64.444444444444	61.170212765957	57.485029940119	72.169811320754	70.669745958429	59.016393442622	64.495114006514
2011	77.662874870734	84.246575342465	75.555555555555	76.991150442477	82.738095238095	72.727272727272	76.190476190476	83.737024221453	83.234714003944	74.587458745874	78.526504941599
2015	79.332615715823	90.082644628099	82.857142857142	81.333333333333	83.035714285714	81.818181818181	74.688796680497	82.465753424657	86.680327868852	75.26690391459	80.571428571428
