Jahr	1- und 2-Sterne	3-Sterne	4- und 5-Sterne	Nicht klassiert
Angebotene Zimmer 2017	724	1 527	1 664	350
Angebotene Zimmer 2018	736	1 623	1 652	346
Nettozimmerauslastung (rechte Skala) 2017	0.439615248	0.567725717	0.52960909	0.516714246
Nettozimmerauslastung (rechte Skala) 2018	0.5029803061	0.6352299299	0.6458616538	0.5051990632
