"jahr"	"Bezug ausserkantonal"	"Photovoltaik"	"Thermische Erzeugung"	"Wasserkraft"	"Anteil am Endverbrauch (rechte Skala)"
2010	1254.735426	3.4	159.953378	210.2	29.221970259
2012	1121.695894	6	157.365491	260.3	29.581514865
2014	978.378343	13.101795	170.897798	282.55	30.654001947
2016	974.612639	20.858757	191.006102	279.136815	31.144311762
2018	912.029764	22.660303	157.610165	251.1643	31.441771967
