Wohnviertel_Id	Wohnviertel_Name	Leerwohnungsquote	Leerwohnungen
1	Altstadt Grossbasel	0.2	3
2	Vorstädte	0.4	13
3	Am Ring	0.3	21
4	Breite	0.3	13
5	St. Alban	0.7	42
6	Gundeldingen	0.5	51
7	Bruderholz	0.3	11
8	Bachletten	0.2	13
9	Gotthelf	0.2	10
10	Iselin	0.1	14
11	St. Johann	0.2	16
12	Altstadt Kleinbasel	0.7	11
13	Clara	0.8	19
14	Wettstein	0.3	10
15	Hirzbrunnen	0.3	12
16	Rosental	0.4	12
17	Matthäus	0.2	16
18	Klybeck	0.2	8
19	Kleinhüningen	0.1	1
20	Riehen	0.6	57
30	Bettingen	1.6	8
