cities	Beschäftigte Dichte	time
Basel	0.548	2019-01-01
Bern	0.768	2019-01-01
Genève	0.521	2019-01-01
Lausanne	0.639	2019-01-01
Zürich	0.71	2019-01-01
Frankfurt a. M.	NA	2019-01-01
Freiburg i. Br.	NA	2019-01-01
Karlsruhe	NA	2019-01-01
München	NA	2019-01-01
Stuttgart	NA	2019-01-01
Milano	0.404	2018-01-01
Bologna	0.416	2018-01-01
Lisboa	NA	2019-01-01
Porto	NA	2019-01-01
Barcelona	0.468	2019-01-01
Madrid	0.525	2019-01-01
