Jahr	Tagesbetreuung	Tagesstrukturen in den Quartieren	Tagesstrukturen in den Schulen	Tagesferien
2006	1997.72161172161	571	394	
2007	2101.09523809524	752	488	
2008	2239	799	620	
2009	2315.66666666667	819	814	152.727
2010	2928	910	1173	178.182
2011	3212	802	1510	176.364
2012	3457	743	2209	181.818
2013	3560	851	2966	192.727
2014	3859	918.6	3706	198.182
2015	3987	782	4096	198
