Jahr	KlybeckKleinhüningen	Klybeck	Kleinhüningen
2011	8.471760000000	6.849315000000	12.804878000000
2012	8.471760000000	6.849315000000	12.804878000000
2013	9.899328859060	7.621247113163	15.950920245398
2014	9.666666666666	7.373271889400	15.662650602409
2015	9.650582362728	7.356321839080	15.662650602409
2016	9.618573797678	7.339449541284	15.568862275449
2017	9.468438538205	7.126436781609	15.568862275449
2018	9.452736318407	7.093821510297	15.662650602409
