 Wohnsitz der Gäste	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert
 VR China	1409	1665	2779	380
 Indien	1868	4364	4395	320
 Spanien	3886	11110	7431	1468
 Italien	6029	11655	10840	2580
 Niederlande	6758	13389	13539	2825
 Frankreich	6778	16169	18224	4030
 UK	4900	17322	30353	4008
 USA	4173	19768	75665	3991
 Deutschland	18961	61875	62125	24828
 Schweiz	52090	162732	207178	69827


