""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.034594	49
"2014-02"	0.034594	44
"2014-03"	0.034594	37
"2014-04"	0.034594	35
"2014-05"	0.034594	36
"2014-06"	0.034594	36
"2014-07"	0.034594	33
"2014-08"	0.034594	34
"2014-09"	0.034594	37
"2014-10"	0.034594	33
"2014-11"	0.034594	28
"2014-12"	0.034594	28
"2015-01"	0.035076	32
"2015-02"	0.035076	32
"2015-03"	0.035076	39
"2015-04"	0.035076	34
"2015-05"	0.035076	37
"2015-06"	0.035076	37
"2015-07"	0.035076	37
"2015-08"	0.035076	38
"2015-09"	0.035076	36
"2015-10"	0.035076	39
"2015-11"	0.035076	39
"2015-12"	0.035076	36
"2016-01"	0.049638	46
"2016-02"	0.049638	51
"2016-03"	0.049638	60
"2016-04"	0.049638	58
"2016-05"	0.049638	59
"2016-06"	0.049638	55
"2016-07"	0.049638	47
"2016-08"	0.049638	46
"2016-09"	0.049638	45
"2016-10"	0.049638	49
"2016-11"	0.049638	51
"2016-12"	0.049638	50
"2017-01"	0.044006	54
"2017-02"	0.044006	53
"2017-03"	0.044006	52
"2017-04"	0.044006	53
"2017-05"	0.044006	44
"2017-06"	0.044006	47
"2017-07"	0.044006	43
"2017-08"	0.044006	44
"2017-09"	0.044006	39
"2017-10"	0.044006	40
"2017-11"	0.044006	37
"2017-12"	0.044006	41
"2018-01"	0.051086	48
"2018-02"	0.051086	53
"2018-03"	0.051086	58
"2018-04"	0.051086	57
"2018-05"	0.051086	55
"2018-06"	0.051086	51
"2018-07"	0.051086	52
"2018-08"	0.051086	54
"2018-09"	0.051086	54
"2018-10"	0.051086	48
"2018-11"	0.051086	50
"2018-12"	0.051086	55
"2019-01"	0.049718	58
"2019-02"	0.049718	65
"2019-03"	0.049718	63
"2019-04"	0.049718	60
"2019-05"	0.049718	52
"2019-06"	0.049718	50
"2019-07"	0.049718	48
"2019-08"	0.049718	44
"2019-09"	0.049718	44
"2019-10"	0.049718	44
"2019-11"	0.049718	41
"2019-12"	0.049718	49
"2020-01"	0.063958	49
"2020-02"	0.063958	57
"2020-03"	0.063958	60
"2020-04"	0.063958	58
"2020-05"	0.063958	66
"2020-06"	0.063958	72
"2020-07"	0.063958	73
"2020-08"	0.063958	70
"2020-09"	0.063958	71
"2020-10"	0.063958	75
"2020-11"	0.063958	68
"2020-12"	0.063958	76
"2021-01"	0.061303	73
"2021-02"	0.061303	76
"2021-03"	0.061303	76
"2021-04"	0.061303	70
"2021-05"	0.061303	71
"2021-06"	0.061303	71
"2021-07"	0.061303	62
"2021-08"	0.061303	58
"2021-09"	0.061303	50
"2021-10"	0.061303	51
"2021-11"	0.061303	51
"2021-12"	0.061303	53
"2022-01"	0.040949	49
"2022-02"	0.040949	51
"2022-03"	0.040949	52
"2022-04"	0.040949	55
"2022-05"	0.040949	46
"2022-06"	0.040949	41
"2022-07"	0.040949	36
"2022-08"	0.040949	35
"2022-09"	0.040949	36
"2022-10"	0.040949	36
"2022-11"	0.040949	36
"2022-12"	0.040949	36
"2023-01"	0.042558	39
"2023-02"	0.042558	48
"2023-03"	0.042558	42
"2023-04"	0.042558	46
"2023-05"	0.042558	52
"2023-06"	0.042558	49
"2023-07"	0.042558	41
"2023-08"	0.042558	41
"2023-09"	0.042558	39
"2023-10"	0.042558	45
"2023-11"	0.042558	44
"2023-12"	0.042558	43

