"Jahr"	"Nutzung"	"Anteil"	"Anzahl"
2020	"Laden"	9.6	20559
2020	"Büro"	32.6	70231
2020	"Gewerbe"	31.4	67585
2020	"Produktion"	6.8	14741
2020	"Lager"	19.6	42128

