Kalenderwoche	2015 Kumuliert	2015 Wöchentlich	2016 Kumuliert	2016 Wöchentlich	2017 Kumuliert	2017 Wöchentlich	2018 Kumuliert	2018 Wöchentlich	2019 Kumuliert	2019 Wöchentlich	2020 Kumuliert	2020 Wöchentlich
1	-10	-10	-17	-17	4	4	7	7	-13	-13	1	1
2	-8	3	-26	-9	22	18	9	3	-17	-4	3	3
3	-5	3	-29	-3	37	15	16	7	-26	-9	-3	-6
4	0	5	-36	-7	33	-5	19	3	-18	8	-4	-1
5	6	5	-48	-12	26	-7	25	7	-19	-1	1	4
6	15	9	-59	-11	51	25	30	5	-24	-5	-9	-10
7	24	8	-54	5	53	1	26	-4	-25	-1	-16	-7
8	38	15	-63	-9	55	3	23	-3	-22	3	-24	-7
9	46	8	-58	6	56	1	42	18	-24	-1	-28	-5
10	50	4	-63	-6	58	2	45	4	-21	3	-29	-1
11	61	11	-73	-9	61	3	58	13	-21	-1	-25	5
12	66	5	-80	-8	56	-4	65	7	-25	-4	-12	13
13	75	9	-79	2	53	-3	57	-8	-28	-3	15	26
14	79	4	-78	1	56	2	58	1	-28	0	41	27
15	70	-8	-78	0	43	-13	56	-2	-33	-5	38	-3
16	71	0	-81	-4	41	-1	55	-1	-34	-1	48	10
17	76	5	-88	-7	39	-2	46	-9	-33	1	40	-8
18	80	5	-99	-10	38	-1	53	7	-24	9	34	-6
19	77	-3	-99	0	34	-4	48	-5	-21	3	28	-6
20	78	0	-96	3	31	-3	48	0	-19	2	12	-16
21	81	3	-90	5	25	-6	48	0	-9	10	5	-7
22	82	1	-85	6	25	0	33	-14	-7	2		
23	84	2	-89	-4	27	2	27	-6	-1	6		
24	88	4	-90	-1	23	-4	16	-11	-6	-5		
25	91	4	-89	1	27	3	15	0	-8	-2		
26	96	5	-89	0	32	5	20	5	-9	-1		
27	115	19	-95	-5	47	15	14	-7	-12	-4		
28	133	18	-96	-1	46	-1	11	-3	-10	2		
29	144	11	-103	-7	42	-4	9	-2	-15	-5		
30	151	7	-97	6	34	-7	0	-9	1	17		
31	146	-5	-98	-1	35	0	3	3	-1	-2		
32	146	-1	-101	-3	38	3	18	16	-7	-6		
33	143	-3	-86	16	46	8	25	7	-10	-3		
34	150	7	-83	2	40	-6	31	6	-10	-1		
35	149	0	-83	0	40	0	21	-11	-19	-8		
36	151	2	-95	-12	27	-13	21	0	-19	0		
37	156	5	-96	-2	21	-6	11	-10	-27	-8		
38	154	-2	-98	-2	33	13	4	-7	-31	-3		
39	148	-6	-101	-3	43	9	2	-2	-26	4		
40	149	0	-103	-1	29	-14	16	14	-28	-2		
41	142	-6	-107	-4	33	4	13	-3	-28	0		
42	140	-3	-116	-9	31	-1	-1	-14	-29	-1		
43	134	-6	-123	-7	29	-2	-9	-8	-22	7		
44	133	-1	-124	-1	36	7	-13	-3	-33	-11		
45	119	-14	-128	-4	32	-5	-11	1	-38	-5		
46	107	-12	-131	-3	33	2	-22	-10	-43	-5		
47	107	0	-131	0	36	2	-19	2	-41	2		
48	101	-6	-132	-1	45	9	-27	-8	-39	2		
49	98	-3	-132	0	49	5	-34	-7	-42	-3		
50	95	-3	-127	5	39	-10	-35	-1	-47	-5		
51	86	-9	-119	8	36	-3	-39	-4	-39	8		
52	86	0	-109	10	31	-5	-30	9	-40	-1		
53	89	3										
