JAHR	Klybeck	Kleinhüningen
2000	34.34	39.46
2001	34.30	38.00
2002	33.26	35.93
2003	32.37	34.42
2004	31.77	34.56
2005	31.00	34.22
2006	30.69	34.79
2007	31.60	35.72
2008	31.63	36.11
2009	32.13	35.24
2010	32.45	34.22
2011	31.93	34.23
2012	32.04	33.33
2013	32.33	33.39
2014	33.04	33.59
2015	34.14	34.83
2016	34.20	35.15
2017	34.20	35.16
2018	34.49	35.51
2019	34.42	37.88
