Jahr	Basel	Bern	Genf	Liestal	Zürich
2006	80409	59298	77802	73326	14686
2007	80409	59298	77802	73326	14687
2008	78626	58248	77826	63660	14534
2009	76170	59298	72529	58240	14534
2010	76170	59230	72499	50407	14534
2011	73668	56863	72262	55133	14534
2012	72390	56863	72262	55133	14516
2013	71120	56863	72262	55133	14501
2014	71120	56863	72262	55133	14501
2015	71120	56863	72194	55133	14501
