"PLZ"	"Anzahl Ordnungsbussen"	"Ordnungsbussen pro ha"	"Area_ha"
4001	528	80.6	6.55
4051	28289	202.3	139.84
4052	32145	89.85	357.78
4053	18954	101.54	186.66
4054	10231	52.9	193.41
4055	11033	64.76	170.38
4056	18672	78.93	236.56
4057	38139	114.93	331.84
4058	54148	119.25	454.06
4059	2387	11.56	206.4
4125	18787	17.35	1082.7
4126	59	0.26	222.7
