"Jahr"	"Nutzung"	"Anteil"	"Anzahl"
2020	"Laden"	7.6	9220
2020	"Büro"	63.4	76480
2020	"Gewerbe"	15.4	18532
2020	"Produktion"	1.5	1791
2020	"Lager"	12.0	14520

