Jahr	Schweiz	Deutschland	Vereinigte Staaten	Vereinigtes Königreich	Frankreich	Niederlande	Italien	Spanien	Indien	VR China	Übrige Länder
Logiernächte 2013	322772	185430	113226	84025	50040	28043	44998	22484	13665	18918	222261
Logiernächte 2022	491827	167789	103597	56583	45201	36511	31104	23895	10947	6233	200417
Marktanteile (rechte Skala) 2013	0.291873669589876	0.167679149839673	0.102387097124234	0.075981451573524	0.045249768958514	0.025358498619177	0.040690429728122	0.020331650784637	0.012356876355278	0.017107016969568	0.200984390457399
Marktanteile (rechte Skala) 2022	0.418895600389744	0.142908123982203	0.088234943412168	0.048192494020973	0.038498293166534	0.031096904533159	0.026491690684982	0.020351689458515	0.009323705566117	0.005308729039336	0.170697825746271
