Todesursachen	Alter	Alle	Frauen	Männer
Herz und Kreislauf	73	10	4	6
Herz und Kreislauf	74	8	4	4
Herz und Kreislauf	75	16	7	9
Herz und Kreislauf	76	8	4	4
Herz und Kreislauf	77	4	2	2
Herz und Kreislauf	78	7	1	6
Herz und Kreislauf	79	13	6	7
Herz und Kreislauf	80	12	7	5
Herz und Kreislauf	81	11	6	5
Herz und Kreislauf	82	21	12	9
Herz und Kreislauf	83	20	9	11
Herz und Kreislauf	84	24	14	10
Herz und Kreislauf	85	27	15	12
Herz und Kreislauf	86	21	10	11
Herz und Kreislauf	87	29	18	11
Herz und Kreislauf	88	30	18	12
Herz und Kreislauf	89	32	24	8
Herz und Kreislauf	90	27	19	8
Herz und Kreislauf	91	39	24	15
Herz und Kreislauf	92	30	17	13
Herz und Kreislauf	93	19	11	8
Herz und Kreislauf	94	19	17	2
Herz und Kreislauf	95	30	23	7
Herz und Kreislauf	96	12	9	3
Herz und Kreislauf	97	10	10	0
Herz und Kreislauf	98	9	7	2
Herz und Kreislauf	99	4	4	0
Herz und Kreislauf	100+	12	10	2
Infektionen	53	1	1	0
Infektionen	63	1	1	0
Infektionen	67	2	0	2
Infektionen	74	1	1	0
Infektionen	77	1	1	0
Infektionen	83	3	2	1
Infektionen	84	1	1	0
Infektionen	86	2	2	0
Infektionen	87	2	1	1
Infektionen	88	1	1	0
Infektionen	89	1	1	0
Infektionen	91	2	2	0
Infektionen	92	3	3	0
Infektionen	93	1	1	0
Infektionen	94	1	1	0
Infektionen	96	1	0	1
Infektionen	97	1	0	1
Krebs	0-17	1	1	0
Krebs	35	1	0	1
Krebs	39	1	0	1
Krebs	47	2	0	2
Krebs	48	2	0	2
Krebs	49	1	1	0
Krebs	50	2	1	1
Krebs	52	1	0	1
Krebs	53	2	1	1
Krebs	54	7	5	2
Krebs	55	5	1	4
Krebs	56	4	2	2
Krebs	57	3	0	3
Krebs	58	4	2	2
Krebs	59	5	2	3
Krebs	60	6	1	5
Krebs	61	8	3	5
Krebs	62	8	5	3
Krebs	63	7	4	3
Krebs	64	4	1	3
Krebs	65	11	5	6
Krebs	66	5	2	3
Krebs	67	9	6	3
Krebs	68	7	5	2
Krebs	69	11	4	7
Krebs	70	13	4	9
Krebs	71	9	6	3
Krebs	72	13	7	6
Krebs	73	13	7	6
Krebs	74	7	5	2
Krebs	75	9	3	6
Krebs	76	10	4	6
Krebs	77	20	10	10
Krebs	78	21	12	9
Krebs	79	17	10	7
Krebs	80	20	11	9
Krebs	81	18	5	13
Krebs	82	21	10	11
Krebs	83	11	8	3
Krebs	84	21	14	7
Krebs	85	15	11	4
Krebs	23	1	0	1
Krebs	86	26	13	13
Krebs	87	17	9	8
Krebs	88	13	8	5
Krebs	89	12	6	6
Krebs	90	14	8	6
Krebs	91	20	13	7
Krebs	92	9	5	4
Krebs	93	14	7	7
Krebs	94	7	6	1
Krebs	95	5	4	1
Krebs	96	3	2	1
Krebs	97	2	1	1
Krebs	98	1	0	1
Krebs	99	2	2	0
Krebs	100+	1	0	1
Nerven	0-17	1	0	1
Nerven	39	1	1	0
Nerven	40	1	0	1
Nerven	49	1	1	0
Nerven	52	1	1	0
Nerven	54	1	1	0
Nerven	55	1	1	0
Nerven	58	1	1	0
Nerven	61	1	0	1
Nerven	63	1	0	1
Nerven	64	1	1	0
Nerven	69	2	0	2
Nerven	70	2	2	0
Nerven	71	2	0	2
Nerven	73	2	0	2
Nerven	74	5	4	1
Nerven	75	4	2	2
Nerven	76	2	1	1
Nerven	77	7	1	6
Nerven	78	7	4	3
Nerven	80	3	1	2
Nerven	81	2	1	1
Nerven	82	3	3	0
Nerven	83	10	5	5
Nerven	84	4	2	2
Nerven	85	6	3	3
Nerven	86	9	5	4
Nerven	87	6	3	3
Nerven	88	10	7	3
Nerven	89	4	4	0
Nerven	90	4	3	1
Nerven	91	3	2	1
Nerven	92	6	5	1
Nerven	93	2	2	0
Nerven	94	6	4	2
Nerven	95	4	4	0
Nerven	96	4	2	2
Nerven	97	1	1	0
Nerven	98	2	1	1
Nerven	99	2	2	0
Nerven	100+	3	3	0
Psyche	35	1	0	1
Psyche	46	2	0	2
Psyche	49	1	1	0
Psyche	53	1	0	1
Psyche	54	2	1	1
Psyche	58	1	0	1
Psyche	59	1	1	0
Psyche	60	1	1	0
Psyche	61	3	1	2
Psyche	63	1	0	1
Psyche	64	1	0	1
Psyche	67	1	0	1
Psyche	69	1	0	1
Psyche	70	2	1	1
Psyche	72	2	2	0
Psyche	73	1	1	0
Psyche	74	2	0	2
Psyche	75	4	3	1
Psyche	76	2	1	1
Psyche	77	3	3	0
Psyche	78	3	2	1
Psyche	79	2	1	1
Psyche	80	4	1	3
Psyche	81	9	5	4
Psyche	82	8	5	3
Psyche	83	9	6	3
Psyche	84	11	7	4
Psyche	85	9	6	3
Psyche	86	5	4	1
Psyche	87	15	8	7
Psyche	88	19	15	4
Psyche	89	15	10	5
Psyche	90	16	10	6
Psyche	91	19	15	4
Psyche	92	9	7	2
Psyche	93	18	15	3
Psyche	94	15	10	5
Psyche	95	9	7	2
Psyche	96	7	7	0
Psyche	97	11	8	3
Psyche	98	6	3	3
Psyche	99	2	2	0
Psyche	100+	10	9	1
Stofwechselkrankheiten	55	2	2	0
Stofwechselkrankheiten	56	1	0	1
Stofwechselkrankheiten	60	1	0	1
Stofwechselkrankheiten	63	1	0	1
Stofwechselkrankheiten	65	2	1	1
Stofwechselkrankheiten	70	1	0	1
Stofwechselkrankheiten	72	1	0	1
Stofwechselkrankheiten	73	1	0	1
Stofwechselkrankheiten	74	1	1	0
Stofwechselkrankheiten	75	1	1	0
Stofwechselkrankheiten	76	1	1	0
Stofwechselkrankheiten	78	3	3	0
Stofwechselkrankheiten	79	2	0	2
Stofwechselkrankheiten	80	2	2	0
Stofwechselkrankheiten	81	1	1	0
Stofwechselkrankheiten	82	3	2	1
Stofwechselkrankheiten	83	3	1	2
Stofwechselkrankheiten	85	1	1	0
Stofwechselkrankheiten	86	6	2	4
Stofwechselkrankheiten	87	3	2	1
Stofwechselkrankheiten	88	3	2	1
Stofwechselkrankheiten	89	5	3	2
Stofwechselkrankheiten	90	3	2	1
Stofwechselkrankheiten	91	2	1	1
Stofwechselkrankheiten	93	1	0	1
Stofwechselkrankheiten	94	2	1	1
Stofwechselkrankheiten	95	1	1	0
Stofwechselkrankheiten	96	2	2	0
Stofwechselkrankheiten	97	2	0	2
Stofwechselkrankheiten	99	1	1	0
Verdauung	42	1	1	0
Verdauung	49	1	0	1
Verdauung	55	1	0	1
Verdauung	57	1	0	1
Verdauung	58	2	1	1
Verdauung	59	2	1	1
Verdauung	61	1	0	1
Verdauung	63	1	1	0
Verdauung	64	2	2	0
Verdauung	66	2	1	1
Verdauung	67	1	0	1
Verdauung	68	2	0	2
Verdauung	69	1	1	0
Verdauung	70	2	1	1
Verdauung	71	1	0	1
Verdauung	73	1	1	0
Verdauung	74	1	0	1
Verdauung	76	1	0	1
Verdauung	77	3	0	3
Verdauung	78	2	1	1
Verdauung	79	2	2	0
Verdauung	80	1	1	0
Verdauung	81	1	1	0
Verdauung	82	2	1	1
Verdauung	83	1	1	0
Verdauung	84	2	0	2
Verdauung	85	3	3	0
Verdauung	86	3	1	2
Verdauung	87	6	4	2
Verdauung	88	4	2	2
Verdauung	89	5	5	0
Verdauung	90	4	1	3
Verdauung	91	2	2	0
Verdauung	92	2	2	0
Verdauung	93	1	0	1
Verdauung	94	1	1	0
Verdauung	96	3	2	1
Äussere Ursachen	31	1	0	1
Äussere Ursachen	35	1	0	1
Äussere Ursachen	18	1	1	0
Äussere Ursachen	36	2	1	1
Äussere Ursachen	38	1	0	1
Äussere Ursachen	43	1	1	0
Äussere Ursachen	47	1	0	1
Äussere Ursachen	48	1	0	1
Äussere Ursachen	49	2	2	0
Äussere Ursachen	51	1	0	1
Äussere Ursachen	52	3	1	2
Äussere Ursachen	54	1	0	1
Äussere Ursachen	56	1	0	1
Äussere Ursachen	57	1	1	0
Äussere Ursachen	58	1	0	1
Äussere Ursachen	60	2	0	2
Äussere Ursachen	61	1	1	0
Äussere Ursachen	62	1	0	1
Äussere Ursachen	63	1	0	1
Äussere Ursachen	64	1	1	0
Äussere Ursachen	65	1	1	0
Äussere Ursachen	66	1	1	0
Äussere Ursachen	68	1	1	0
Äussere Ursachen	69	2	1	1
Äussere Ursachen	70	2	1	1
Äussere Ursachen	71	2	2	0
Äussere Ursachen	73	1	1	0
Äussere Ursachen	74	1	1	0
Äussere Ursachen	75	2	1	1
Äussere Ursachen	22	1	0	1
Äussere Ursachen	76	1	1	0
Äussere Ursachen	77	2	1	1
Äussere Ursachen	78	3	2	1
Äussere Ursachen	80	1	0	1
Äussere Ursachen	81	3	1	2
Äussere Ursachen	83	4	2	2
Äussere Ursachen	84	4	3	1
Äussere Ursachen	85	3	2	1
Äussere Ursachen	86	2	1	1
Äussere Ursachen	87	3	2	1
Äussere Ursachen	88	2	1	1
Äussere Ursachen	89	3	0	3
Äussere Ursachen	90	4	2	2
Äussere Ursachen	91	4	2	2
Äussere Ursachen	92	4	3	1
Äussere Ursachen	93	2	2	0
Äussere Ursachen	94	6	2	4
Äussere Ursachen	95	4	3	1
Äussere Ursachen	96	2	1	1
Äussere Ursachen	100+	2	2	0
Übrige	0-17	3	3	0
Übrige	26	1	0	1
Übrige	28	1	0	1
Übrige	35	1	0	1
Übrige	38	1	0	1
Übrige	44	1	0	1
Übrige	46	1	0	1
Übrige	49	1	0	1
Übrige	50	2	0	2
Übrige	51	2	0	2
Übrige	52	2	1	1
Übrige	54	1	1	0
Übrige	56	2	2	0
Übrige	57	2	0	2
Übrige	59	1	0	1
Übrige	60	3	1	2
Übrige	61	3	1	2
Übrige	62	5	1	4
Übrige	63	4	1	3
Übrige	64	3	2	1
Übrige	65	3	3	0
Übrige	66	6	1	5
Übrige	67	3	2	1
Übrige	68	5	0	5
Übrige	69	5	1	4
Übrige	70	3	0	3
Übrige	71	3	0	3
Übrige	72	1	0	1
Übrige	73	6	2	4
Übrige	74	7	3	4
Übrige	75	4	1	3
Übrige	76	2	1	1
Übrige	77	5	2	3
Übrige	78	4	2	2
Übrige	79	6	3	3
Übrige	80	7	3	4
Übrige	81	8	4	4
Übrige	82	7	4	3
Übrige	83	9	6	3
Übrige	84	3	2	1
Übrige	85	7	4	3
Übrige	86	11	5	6
Übrige	87	7	2	5
Übrige	88	12	9	3
Übrige	89	10	7	3
Übrige	90	10	8	2
Übrige	91	8	4	4
Übrige	92	6	6	0
Übrige	93	7	5	2
Übrige	94	13	9	4
Übrige	95	4	3	1
Übrige	96	3	3	0
Übrige	97	3	3	0
Übrige	98	3	3	0
Übrige	99	2	2	0
Übrige	100+	7	5	2
