Todesursachen	Alter	Alle	Frauen	Männer
Atemweg	40	1	1	0
Atemweg	48	1	1	0
Atemweg	51	1	0	1
Atemweg	53	1	0	1
Atemweg	20	1	0	1
Atemweg	57	1	1	0
Atemweg	58	1	0	1
Atemweg	60	1	0	1
Atemweg	61	1	0	1
Atemweg	62	1	1	0
Atemweg	63	2	0	2
Atemweg	64	2	2	0
Atemweg	65	1	1	0
Atemweg	66	3	2	1
Atemweg	67	1	1	0
Atemweg	68	2	1	1
Atemweg	70	2	1	1
Atemweg	71	2	1	1
Atemweg	72	5	2	3
Atemweg	73	2	2	0
Atemweg	74	2	0	2
Atemweg	75	5	1	4
Atemweg	76	2	1	1
Atemweg	77	5	3	2
Atemweg	78	8	3	5
Atemweg	79	2	0	2
Atemweg	80	7	2	5
Atemweg	81	3	2	1
Atemweg	82	7	1	6
Atemweg	83	7	3	4
Atemweg	84	4	2	2
Atemweg	85	5	4	1
Atemweg	86	4	3	1
Atemweg	87	6	3	3
Atemweg	88	2	2	0
Atemweg	89	4	1	3
Atemweg	90	4	2	2
Atemweg	91	7	6	1
Atemweg	92	5	3	2
Atemweg	93	6	3	3
Atemweg	94	6	5	1
Atemweg	95	6	3	3
Atemweg	96	2	1	1
Atemweg	97	1	1	0
Atemweg	98	2	2	0
Atemweg	100+	4	4	0
Herz und Kreislauf	0-17	1	0	1
Herz und Kreislauf	29	1	1	0
Herz und Kreislauf	43	1	0	1
Herz und Kreislauf	49	2	0	2
Herz und Kreislauf	50	1	0	1
Herz und Kreislauf	51	1	0	1
Herz und Kreislauf	52	2	0	2
Herz und Kreislauf	53	1	1	0
Herz und Kreislauf	54	2	0	2
Herz und Kreislauf	55	1	0	1
Herz und Kreislauf	56	2	1	1
Herz und Kreislauf	57	1	0	1
Herz und Kreislauf	58	2	2	0
Herz und Kreislauf	59	2	1	1
Herz und Kreislauf	60	4	2	2
Herz und Kreislauf	62	2	0	2
Herz und Kreislauf	63	2	0	2
Herz und Kreislauf	64	5	2	3
Herz und Kreislauf	66	3	1	2
Herz und Kreislauf	67	6	2	4
Herz und Kreislauf	68	8	5	3
Herz und Kreislauf	69	6	3	3
Herz und Kreislauf	70	2	1	1
Herz und Kreislauf	71	3	2	1
Herz und Kreislauf	72	3	1	2
