Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	10	2.538071066
02	Vorstädte	4	0.8658008658
03	Am Ring	2	0.1765225066
04	Breite	6	0.9118541033
05	St. Alban	4	0.3524229075
06	Gundeldingen	4	0.2849002849
07	Bruderholz	8	0.3800475059
08	Bachletten	13	0.523138833
09	Gotthelf	1	0.1033057851
10	Iselin	2	0.1379310345
11	St. Johann	0	
12	Altstadt Kleinbasel	3	1.171875
13	Clara	3	1.3100436681
14	Wettstein	5	0.7183908046
15	Hirzbrunnen	59	3.7294563843
16	Rosental	0	
17	Matthäus	1	0.0877963126
18	Klybeck	1	0.2336448598
19	Kleinhüningen	1	0.6289308176
20	Riehen	37	0.8726415094
30	Bettingen	1	0.3154574132
