	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2009	1396	1195	289	79	20	140
2013	743.21409	963.52733	279.16581	96.21216	17.34742	131.53319
2017	836.11419	581.93095	127.26455	44.14027	5.11181	70.43824
2022	857.29233	655.17504	136.24549	38.35278	5.9274	88.00697

