jahr	Anteil erneuerbare Energie in %	Bruttoverbrauch total (in GWh)	Erneuerbare Energieträger total (in GWh)
2010	34.9634254733309	5739.88485891	2006.8603649
2012	36.1440316149137	5345.70747222	1932.1541988
2014	38.0427439021328	4873.7252194	1854.09880371
