	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2011	732	669	167	34	16	71
2015	468	726	132	23	24	54
2019	473	694	129	31	24	59
