Alter	 Deutsch oder Schweizerdeutsch	 Kein Deutsch
65 u.m. Jahre	42.15	57.85
40-64 Jahre	42.58	57.42
25-39 Jahre	52.07	47.93
15-24 Jahre	72.42	27.58
