"JAHR"	"5-12"	"13-17"	"18-25"
2009	11461.0	7837.0	18909
2010	11543.0	7655.0	18680
2011	11604.0	7637.0	18587
2012	11737.0	7540.0	18607
2013	11836.0	7604.0	18632
2014	12093.0	7481.0	18355
2015	12470.0	7510.0	18049
2016	12776.0	7483.0	17838
2017	13049.0	7475.0	17541
2018	13357.0	7501.0	17435
