"CityDescr"	"Kernstadt"	"CH Agglomerationsgürtel"	"DE Agglomerationsgürtel"	"FR Agglomerationsgürtel"	"Grenzübersc"
Basel	17.95	21.35	34.31	28.58	25.23
Bern	18.29	21.03			
Genève	21.83	28		32.35	29.6
Lausanne	21.26	25.47			
Zürich	19.18	23.2			
