"CityDescr"	"Kernstadt"	"CH Agglomerationsgürtel"	"DE Agglomerationsgürtel"	"FR Agglomerationsgürtel"
Basel	30.06	33.87	33.17	27.99
Bern	26.22	35.31		
Genève	24.33	26.01		21.3
Lausanne	22.83	26.84		
Zürich	22.83	28.34		
