"WohnviertelId"	"Wohnviertel_Name"	"2022"	"Differenz 2022 zu 2017"
1	Altstadt Grossbasel	0.2450980392	0.1597738071
2	Vorstädte	0.2611940299	-0.064892927
3	Am Ring	0.7890961263	-0.161509652
4	Breite	2.2666938942	-0.049748712
5	St. Alban	1.2917295756	-0.051039432
6	Gundeldingen	2.2440944882	-0.284617984
7	Bruderholz	1.3359722909	-0.085828657
8	Bachletten	1.1423418007	-0.241478151
9	Gotthelf	1.5388697267	-0.036361126
10	Iselin	3.0916245082	0.0433988485
11	St. Johann	3.2939646766	-0.343832373
12	Altstadt Kleinbasel	0.442804428	-1.012019462
13	Clara	1.7779705117	-0.510247599
14	Wettstein	1.1356045424	-0.100659194
15	Hirzbrunnen	3.3597760149	0.4817495188
16	Rosental	3.4712579839	0.3381830485
17	Matthäus	2.5957500954	-0.379834849
18	Klybeck	3.9740947895	-0.712489862
19	Kleinhüningen	4.8221343874	-0.209312154
20	Riehen	1.5590424462	0.1156364233
30	Bettingen	0.9689922481	-0.338197294
