""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.031733	182
"2014-02"	0.031733	180
"2014-03"	0.031733	172
"2014-04"	0.031733	161
"2014-05"	0.031733	157
"2014-06"	0.031733	157
"2014-07"	0.031733	149
"2014-08"	0.031733	146
"2014-09"	0.031733	172
"2014-10"	0.031733	173
"2014-11"	0.031733	178
"2014-12"	0.031733	171
"2015-01"	0.034989	183
"2015-02"	0.034989	178
"2015-03"	0.034989	176
"2015-04"	0.034989	177
"2015-05"	0.034989	187
"2015-06"	0.034989	197
"2015-07"	0.034989	192
"2015-08"	0.034989	198
"2015-09"	0.034989	185
"2015-10"	0.034989	186
"2015-11"	0.034989	172
"2015-12"	0.034989	172
"2016-01"	0.034004	172
"2016-02"	0.034004	184
"2016-03"	0.034004	177
"2016-04"	0.034004	178
"2016-05"	0.034004	179
"2016-06"	0.034004	173
"2016-07"	0.034004	173
"2016-08"	0.034004	191
"2016-09"	0.034004	187
"2016-10"	0.034004	174
"2016-11"	0.034004	179
"2016-12"	0.034004	174
"2017-01"	0.037895	180
"2017-02"	0.037895	183
"2017-03"	0.037895	202
"2017-04"	0.037895	213
"2017-05"	0.037895	203
"2017-06"	0.037895	191
"2017-07"	0.037895	196
"2017-08"	0.037895	210
"2017-09"	0.037895	215
"2017-10"	0.037895	203
"2017-11"	0.037895	197
"2017-12"	0.037895	193
"2018-01"	0.037339	214
"2018-02"	0.037339	214
"2018-03"	0.037339	219
"2018-04"	0.037339	211
"2018-05"	0.037339	189
"2018-06"	0.037339	184
"2018-07"	0.037339	187
"2018-08"	0.037339	185
"2018-09"	0.037339	191
"2018-10"	0.037339	193
"2018-11"	0.037339	189
"2018-12"	0.037339	175
"2019-01"	0.029192	184
"2019-02"	0.029192	178
"2019-03"	0.029192	171
"2019-04"	0.029192	156
"2019-05"	0.029192	138
"2019-06"	0.029192	142
"2019-07"	0.029192	147
"2019-08"	0.029192	155
"2019-09"	0.029192	145
"2019-10"	0.029192	141
"2019-11"	0.029192	143
"2019-12"	0.029192	138
"2020-01"	0.039118	154
"2020-02"	0.039118	150
"2020-03"	0.039118	182
"2020-04"	0.039118	205
"2020-05"	0.039118	224
"2020-06"	0.039118	225
"2020-07"	0.039118	221
"2020-08"	0.039118	224
"2020-09"	0.039118	221
"2020-10"	0.039118	216
"2020-11"	0.039118	220
"2020-12"	0.039118	221
"2021-01"	0.044820	244
"2021-02"	0.044820	251
"2021-03"	0.044820	256
"2021-04"	0.044820	235
"2021-05"	0.044820	235
"2021-06"	0.044820	236
"2021-07"	0.044820	223
"2021-08"	0.044820	239
"2021-09"	0.044820	232
"2021-10"	0.044820	223
"2021-11"	0.044820	225
"2021-12"	0.044820	223
"2022-01"	0.035147	217
"2022-02"	0.035147	219
"2022-03"	0.035147	209
"2022-04"	0.035147	204
"2022-05"	0.035147	197
"2022-06"	0.035147	176
"2022-07"	0.035147	177
"2022-08"	0.035147	182
"2022-09"	0.035147	171
"2022-10"	0.035147	155
"2022-11"	0.035147	159
"2022-12"	0.035147	147
"2023-01"	0.028795	152
"2023-02"	0.028795	153
"2023-03"	0.028795	140
"2023-04"	0.028795	145
"2023-05"	0.028795	149
"2023-06"	0.028795	145
"2023-07"	0.028795	147
"2023-08"	0.028795	152
"2023-09"	0.028795	151
"2023-10"	0.028795	157
"2023-11"	0.028795	158
"2023-12"	0.028795	164

