Jahr	Weiss nicht/Keine Angabe	Sehr unzufrieden	Eher unzufrieden	Eher zufrieden	Sehr zufrieden	Total
2003	0	213	370	586	328	1497
2005	0	156	325	635	394	1510
2007	0	194	355	603	357	1509
2011	4	118	348	618	428	1516
2015	7	93	313	647	446	1506
